Time,Type,Value
8191143,AccelY,63
8226683,BtnUp,Up
8241183,AccelY,65
8257747,AccelY,71
8274739,AccelY,73
8291329,AccelY,76
8307644,AccelY,79
8324618,AccelY,81
8341111,AccelY,84
8357965,AccelY,87
8408295,AccelY,84
8443529,AccelY,79
8457811,BtnDown,Up
8474517,AccelY,73
8491247,AccelY,71
8508215,AccelY,68
8524409,AccelY,65
8541198,BtnUp,Up
8610298,AccelY,68
8658116,AccelY,71
8693396,AccelY,73
8775416,BtnDown,Right
8792666,AccelY,68
8808235,AccelY,65
8841426,AccelY,63
8876746,AccelY,65
8891335,BtnUp,Right
8942767,BtnDown,Right
8942767,AccelY,58
8975243,AccelY,60
8991490,BtnUp,Right
9009102,AccelY,76
9025220,AccelY,79
9042178,BtnDown,B
9058230,AccelY,63
9074879,AccelY,58
9125430,AccelY,60
9141865,BtnUp,B
9158497,AccelY,65
9175018,AccelY,68
9242034,BtnDown,Right
9293442,AccelY,65
9308689,AccelY,63
9343430,BtnUp,Right
9375890,AccelY,65
9409898,AccelY,68
9458628,AccelY,71
9493367,AccelY,73
9508209,AccelY,76
9543292,AccelY,81
9575863,AccelY,84
9599020,AccelY,87
9692960,AccelY,84
9793921,AccelY,87
9859947,BtnDown,Up
9875073,AccelY,81
9891772,AccelY,76
9908333,AccelY,71
9924451,AccelY,68
9941126,AccelY,65
9957674,AccelY,63
9974463,AccelY,60
10058088,AccelY,63
10125160,AccelY,65
10175361,AccelY,63
10209428,AccelY,65
10342546,AccelY,68
10374420,AccelY,65
10525078,AccelY,63
10559023,AccelY,65
10608011,AccelY,63
10692244,AccelY,65
10794613,AccelY,68
10942422,AccelY,65
11192014,AccelY,63
11224309,AccelY,65
11240804,BtnUp,Up
11307903,AccelY,63
11340533,AccelY,60
11374419,AccelY,58
11390687,AccelY,50
11426122,AccelY,47
11440704,AccelY,44
11457031,AccelY,42
11492260,AccelY,39
11524303,AccelY,42
11558179,AccelY,47
11574162,AccelY,50
11590791,AccelY,52
11607388,AccelY,58
11623574,AccelY,63
11640274,AccelY,68
11656784,AccelY,71
11674302,AccelY,76
11690765,AccelY,79
11707248,BtnDown,Up
11723884,AccelY,65
11740721,AccelY,50
11757389,AccelY,36
11774433,AccelY,34
11792327,AccelY,39
11807365,BtnUp,Up
11823770,AccelY,47
11840253,AccelY,50
11874041,AccelY,52
11890621,AccelY,58
11907374,AccelY,60
11923963,AccelY,63
11958698,AccelY,65
12143471,AccelY,68
12192673,BtnDown,Right
12207885,AccelY,71
12224302,AccelY,65
12240818,AccelY,58
12257658,AccelY,52
12274446,AccelY,50
12324706,BtnUp,Right
12358878,AccelY,52
12374394,AccelY,55
12390894,AccelY,58
12407762,AccelY,63
12424570,AccelY,65
12440961,AccelY,68
12457400,AccelY,71
12542817,AccelY,68
12607906,AccelY,71
12657776,AccelY,73
12692451,AccelY,76
12741828,AccelY,79
12774713,AccelY,81
12792000,BtnDown,B
12792000,AccelY,76
12807869,AccelY,65
12824711,AccelY,58
12841288,AccelY,52
12857468,AccelY,55
12875288,BtnUp,B
12891173,AccelY,58
12908098,AccelY,60
12924466,AccelY,63
12940665,AccelY,65
12957620,AccelY,68
12974421,AccelY,73
12990967,AccelY,76
13008499,AccelY,79
13125052,BtnDown,Left
13141468,AccelY,76
13157878,AccelY,71
13175044,AccelY,63
13191525,AccelY,58
13207797,AccelY,55
13224406,BtnUp,Left
13241380,AccelY,50
13257903,AccelY,47
13293615,AccelY,50
13308338,AccelY,52
13325142,AccelY,55
13341220,AccelY,58
13357946,AccelY,60
13408113,AccelY,63
13443514,AccelY,65
13492028,AccelY,68
13575193,AccelY,71
13675017,BtnDown,Right
13691709,AccelY,65
13707892,AccelY,52
13724676,AccelY,42
13741683,AccelY,36
13757904,BtnUp,Right
13824323,AccelY,39
13840280,AccelY,44
13857631,AccelY,50
13873650,AccelY,55
13890677,AccelY,60
13907536,AccelY,63
13923373,AccelY,65
13940168,AccelY,68
13973793,AccelY,71
14041683,AccelY,68
14091786,AccelY,71
14173730,AccelY,73
14223783,BtnDown,B
14223783,AccelY,68
14240090,AccelY,63
14256517,AccelY,58
14291831,BtnUp,B
14306897,AccelY,55
14391559,AccelY,58
14406949,AccelY,60
14423458,AccelY,63
14474474,AccelY,65
14525270,AccelY,68
14591858,BtnDown,A
14591858,AccelY,65
14607040,AccelY,55
14623310,AccelY,47
14640366,AccelY,36
14656640,AccelY,29
14673287,AccelY,21
14690364,AccelY,18
14706517,AccelY,15
14725008,AccelY,18
14805542,AccelY,21
14924952,AccelY,23
14940029,AccelY,29
14956366,BtnUp,A
14972325,AccelY,42
14989533,AccelY,44
15006178,AccelY,47
15022669,AccelY,50
15039744,AccelY,52
15056045,BtnDown,B
15072743,AccelY,44
15089513,AccelY,39
15106113,AccelY,31
15156529,AccelY,34
15173086,BtnUp,B
15189514,AccelY,42
15206130,AccelY,47
15222670,AccelY,52
15239411,AccelY,55
15306550,AccelY,52
15341370,AccelY,50
15373312,AccelY,52
15407723,AccelY,55
15441556,AccelY,58
15473763,AccelY,60
15507444,AccelY,63
15523446,AccelY,65
15590705,AccelY,68
15623475,AccelY,65
15639549,BtnDown,Right
15656110,AccelY,55
15672454,AccelY,50
15689158,AccelY,42
15705572,AccelY,39
15722244,AccelY,36
15739039,AccelY,34
15823276,AccelY,36
15857469,AccelY,39
15906724,AccelY,42
15922876,AccelY,39
15991494,AccelY,36
16191149,AccelY,34
16756687,AccelY,36
16793147,AccelY,39
16825058,AccelY,42
16840093,AccelY,44
16872959,AccelY,47
17057181,AccelY,50
17090108,AccelY,52
17124752,AccelY,55
17158164,AccelY,58
17191182,AccelY,60
17306781,AccelY,58
17341170,AccelY,55
17356480,AccelY,52
17373708,AccelY,50
17390342,AccelY,47
17407016,AccelY,42
17423340,AccelY,39
17440431,AccelY,36
17474372,BtnUp,Right
17524524,AccelY,34
17574241,AccelY,36
17589970,AccelY,39
17606822,AccelY,42
17642423,AccelY,44
17689904,AccelY,47
17742485,AccelY,50
17773962,AccelY,52
17807190,AccelY,55
17842393,AccelY,58
17874746,BtnDown,Left
17956668,BtnUp,Left
18023935,AccelY,55
18057469,AccelY,58
18091412,AccelY,60
18156800,AccelY,63
18223709,BtnDown,Up
18257521,AccelY,58
18274165,AccelY,55
18290568,AccelY,52
18324076,BtnUp,Up
18357758,AccelY,55
18392547,AccelY,58
18424808,AccelY,60
18440625,AccelY,63
18474794,AccelY,65
18557275,AccelY,68
18624366,BtnDown,B
18640690,AccelY,58
18657480,AccelY,52
18673947,AccelY,50
18690419,BtnUp,B
18707484,AccelY,52
18742849,AccelY,55
18774732,AccelY,60
18791541,AccelY,63
18992242,AccelY,65
19024667,AccelY,68
19040525,AccelY,71
19092314,AccelY,73
19107504,AccelY,71
19124147,BtnDown,A
19140731,AccelY,60
19156858,AccelY,55
19192312,BtnUp,A
19192312,AccelY,58
19207650,AccelY,60
19242938,AccelY,63
19275233,AccelY,65
19309263,AccelY,68
19324633,AccelY,71
19374699,AccelY,73
19542738,BtnDown,Right
19542738,AccelY,68
19600384,AccelY,65
19625197,BtnUp,Right
19674717,AccelY,68
19709045,AccelY,71
19724723,AccelY,73
19758522,AccelY,76
19923770,AccelY,79
19973103,BtnDown,Up
19973103,AccelY,76
19988507,AccelY,73
20005247,AccelY,71
20055810,BtnUp,Up
20071702,AccelY,73
20173144,AccelY,76
20222093,AccelY,79
20289639,AccelY,76
20340336,AccelY,79
20373477,AccelY,76
20406283,BtnDown,Right
20422089,AccelY,73
20456574,AccelY,71
20472129,BtnUp,Right
20506301,AccelY,73
20555036,AccelY,76
20588263,AccelY,79
20622991,AccelY,81
20672075,AccelY,79
20772056,AccelY,81
20989937,AccelY,79
21040406,AccelY,76
21072644,AccelY,73
21106315,AccelY,71
21189954,AccelY,68
21240200,AccelY,65
21291612,AccelY,63
21356873,AccelY,60
21406767,AccelY,58
21473415,AccelY,55
21940691,AccelY,52
21973646,AccelY,50
21989498,AccelY,47
22057667,AccelY,44
22141332,AccelY,47
22224142,AccelY,50
22291979,AccelY,52
22341918,AccelY,55
22375100,BtnDown,A
22390411,AccelY,52
22407030,AccelY,50
22423177,AccelY,44
22440356,AccelY,42
22456733,BtnUp,A
22473461,AccelY,50
22490062,AccelY,55
22525070,AccelY,58
22540239,AccelY,60
22574779,AccelY,63
22590461,AccelY,65
22641926,AccelY,63
22657206,AccelY,65
22741870,AccelY,68
22774592,AccelY,71
22792030,AccelY,73
22806865,AccelY,76
22823699,BtnDown,B
22857739,AccelY,71
22873562,AccelY,60
22890150,AccelY,52
22906956,BtnUp,B
22923432,AccelY,50
22940615,AccelY,52
22973365,AccelX,-2
22990527,AccelX,-7
22990527,AccelY,55
23024538,AccelX,-10
23058701,AccelX,-7
23073530,AccelX,-5
23090100,AccelX,-2
23123747,AccelX,0
23158187,AccelY,58
23257432,AccelY,60
23357200,AccelX,-2
23373790,AccelX,-5
23390607,AccelX,-7
23423842,AccelX,-10
23474373,AccelX,-13
23490228,AccelY,63
23525506,AccelX,-15
23540285,AccelY,60
23590906,AccelY,55
23607224,BtnDown,Left
23623615,AccelX,-13
23640456,AccelX,-7
23657196,BtnUp,Left
23673611,AccelX,0
23673611,AccelY,58
23690542,AccelY,60
23707078,AccelY,63
23723627,AccelY,65
23758773,AccelY,71
23794768,AccelY,73
23823564,AccelY,76
23838497,AccelY,79
23905608,AccelY,76
23921478,BtnDown,Up
23937829,AccelY,68
23954886,AccelY,65
23971717,AccelY,63
24022344,BtnUp,Up
24038295,AccelY,68
24054860,AccelY,71
24122831,AccelY,73
24188846,AccelY,76
24305058,AccelY,73
24322016,BtnDown,Right
24337918,AccelY,71
24371627,AccelY,68
24404892,BtnUp,Right
24421406,AccelY,71
24456355,AccelY,73
24523426,AccelY,76
24689503,AccelY,79
24722958,AccelY,81
24756228,BtnDown,B
24792626,AccelX,-2
24792626,AccelY,68
24822707,BtnUp,B
24822707,AccelY,63
24857405,AccelX,-5
24857405,AccelY,65
24890346,AccelY,68
24905136,AccelY,71
24921842,AccelY,73
24938174,AccelX,-2
24938174,AccelY,76
24955077,AccelY,79
24972102,AccelX,0
25006996,AccelY,81
25072519,AccelY,84
25088675,AccelY,81
25105144,AccelY,79
25121757,AccelY,81
25138148,AccelY,84
25173614,AccelY,87
25222530,BtnDown,Up
25222530,AccelY,76
25238436,AccelY,65
25255107,AccelY,63
25271943,AccelY,58
25288283,AccelY,55
25305054,BtnUp,Up
25321532,AccelY,58
25355323,AccelY,60
25371752,AccelY,63
25388309,AccelY,65
25404542,AccelY,68
25421503,AccelY,71
25438440,AccelY,73
25454795,AccelY,76
25490564,AccelY,79
25555782,AccelY,81
25705361,AccelY,84
25721455,AccelY,81
25756861,AccelY,79
25792438,BtnDown,A
25805108,AccelY,68
25822103,AccelY,63
25838283,AccelY,58
25856827,AccelY,52
25872040,BtnUp,A
25888051,AccelY,58
25905576,AccelY,60
25939514,AccelY,55
25989491,AccelY,58
26022235,AccelY,60
26038073,AccelY,58
26055072,AccelY,52
26089251,AccelY,50
26122163,AccelY,47
26190520,AccelY,44
26222251,AccelY,42
26238466,BtnDown,A
26254825,AccelY,36
26271546,AccelY,29
26288453,AccelY,26
26304850,AccelY,29
26321725,BtnUp,A
26321725,AccelY,31
26338326,AccelY,34
26406143,AccelY,36
26421893,AccelX,-2
26438653,AccelY,39
26454875,AccelY,42
26472170,AccelX,0
26472170,AccelY,44
26505434,AccelY,47
26540480,AccelY,50
26572664,AccelX,-2
26623655,BtnDown,Left
26623655,AccelX,0
26623655,AccelY,42
26638454,AccelY,39
26655234,AccelY,36
26672031,AccelY,39
26705704,BtnUp,Left
26721881,AccelY,47
26738921,AccelY,50
26754913,AccelY,52
26792249,AccelY,55
26805356,AccelY,58
26822290,AccelY,60
26855662,AccelY,63
26905270,AccelY,65
27005109,BtnDown,Right
27022534,AccelY,60
27071711,BtnUp,Right
27121545,AccelY,58
27138357,AccelY,52
27154955,AccelY,50
27240283,AccelY,52
27255469,AccelY,55
27289584,AccelY,58
27322368,BtnDown,B
27338788,AccelY,52
27372012,AccelY,47
27388851,AccelY,39
27405821,AccelY,34
27422748,AccelY,29
27455779,AccelY,34
27472141,AccelY,36
27488689,BtnUp,B
27505626,AccelX,-7
27505626,AccelY,47
27522340,AccelX,-13
27538780,AccelY,44
27555698,AccelX,-7
27555698,AccelY,42
27572555,BtnDown,A
27588725,AccelX,-5
27588725,AccelY,21
27605514,AccelX,0
27605514,AccelY,13
27640805,AccelY,7
27673324,AccelY,5
27705421,AccelY,2
27721352,AccelY,0
27791391,AccelY,2
27840127,AccelY,5
27872564,AccelY,7
27888719,AccelY,10
27922559,AccelY,13
27955872,AccelY,15
27990225,AccelY,18
28005747,AccelY,21
28021896,AccelY,23
28038390,AccelY,26
28055536,AccelY,29
28189634,AccelY,31
28222744,AccelY,34
28272630,AccelY,36
28340748,AccelY,39
28372471,AccelY,42
28406091,AccelY,44
28422500,AccelY,47
28438904,AccelY,50
28455469,AccelY,52
28506002,AccelY,55
28555871,AccelY,52
28623537,AccelY,47
28673236,BtnUp,A
28740790,AccelY,44
28773719,AccelY,42
28790903,AccelY,39
28806385,AccelY,36
28822854,AccelY,31
28839370,AccelY,26
28856314,AccelY,23
28872823,AccelY,21
28907239,AccelY,18
28940855,AccelY,15
28955822,AccelY,10
28972479,AccelY,7
29007313,AccelY,2
29022742,AccelY,0
29240997,AccelX,-5
29255826,AccelX,-10
29255826,AccelY,2
29272364,AccelX,-15
29272364,AccelY,5
29288799,AccelX,-18
29288799,AccelY,7
29305633,AccelX,-21
29305633,AccelY,10
29322515,AccelY,13
29356366,AccelX,-18
29356366,AccelY,15
29372440,AccelX,-15
29389136,AccelX,-10
29405821,BtnDown,Left
29423130,AccelX,0
29423130,AccelY,5
29439548,AccelY,2
29456523,BtnUp,Left
29491817,AccelY,5
29506842,AccelY,10
29523110,AccelY,13
29539930,AccelY,15
29556448,AccelY,18
29574017,AccelY,23
29599883,AccelY,31
29624057,AccelY,34
29639478,AccelY,36
29673530,BtnDown,Up
29689835,AccelY,26
29706438,AccelY,21
29722904,AccelY,13
29739619,AccelY,10
29773081,AccelY,15
29790884,BtnUp,Up
29790884,AccelY,23
29841391,AccelY,26
29856801,AccelY,29
29872799,AccelY,31
29889956,AccelY,34
29906120,AccelY,36
29992029,AccelY,39
30091381,AccelY,42
30123999,AccelY,44
30140170,AccelY,47
30156570,BtnDown,B
30156570,AccelY,44
30191588,AccelY,39
30207263,AccelY,36
30223071,BtnUp,B
30223071,AccelY,39
30257677,AccelY,42
30273195,AccelY,44
30289879,AccelY,47
30324204,AccelY,50
30339952,AccelY,52
30356659,AccelY,55
30391990,AccelY,58
30406772,AccelY,55
30457311,AccelY,52
30492487,AccelY,50
30606777,BtnDown,A
30623556,AccelY,47
30640392,AccelY,44
30656715,AccelY,39
30673736,AccelY,42
30690568,BtnUp,A
30706816,AccelY,52
30723654,AccelY,55
30740426,AccelY,52
30775533,AccelY,58
30791466,AccelY,60
30923537,AccelY,63
31023734,AccelY,65
31058050,AccelY,63
31073532,BtnDown,Right
31123705,AccelY,58
31140177,AccelY,55
31156952,AccelY,52
31173560,BtnUp,Right
31190068,AccelY,50
31224378,AccelY,52
31240225,AccelY,58
31257441,AccelY,60
31273359,AccelY,63
31290263,AccelY,65
31307374,AccelY,68
31459583,AccelY,65
31494669,BtnDown,Up
31494669,AccelY,58
31540725,AccelY,55
31556477,BtnUp,Up
31556477,AccelY,58
31591050,AccelY,60
31691486,AccelY,63
31724246,AccelY,65
31774640,AccelY,68
31824873,AccelY,65
31840695,AccelY,63
31875467,AccelY,60
31909055,BtnDown,Right
31942141,AccelY,58
31957190,AccelY,52
31973592,AccelY,47
31990618,AccelY,44
32007210,AccelY,42
32023689,AccelY,39
32058855,AccelY,36
32074323,AccelY,39
32124148,AccelY,42
32157809,AccelY,44
32192188,AccelY,47
32207398,AccelY,50
32223988,BtnUp,Right
32240346,AccelY,52
32258842,AccelY,55
32274134,AccelY,58
32324548,AccelY,60
32392268,AccelY,63
32457711,AccelY,65
32542288,AccelY,68
32724744,AccelY,65
32774566,AccelY,63
32791331,BtnDown,Right
32807518,AccelY,55
32823865,AccelY,50
32840709,AccelY,44
32857114,AccelY,39
32873746,AccelY,31
32890340,AccelY,29
32923736,AccelY,26
33057466,AccelY,23
33092482,AccelY,26
33192173,AccelY,29
33257476,AccelY,31
33407399,AccelY,29
33474563,AccelY,31
33524517,AccelY,34
33624485,AccelY,31
33657920,AccelY,26
33673820,AccelY,23
33691197,AccelY,21
33724487,AccelY,18
33794444,AccelY,21
33824035,AccelY,23
33855790,AccelY,26
33871751,AccelY,29
33888362,BtnUp,Right
33905371,AccelY,39
33921632,AccelY,42
33956939,AccelY,44
33990298,AccelY,47
34005367,AccelY,50
34040280,BtnDown,Right
34105111,AccelY,52
34121743,BtnUp,Right
34138176,AccelY,55
34190272,AccelY,52
34205102,AccelY,55
34272183,AccelY,58
34288519,AccelY,60
34305223,AccelY,63
34340190,AccelY,65
34355236,AccelY,68
34455724,AccelY,65
34472045,BtnDown,Up
34488172,AccelY,58
34505420,AccelY,52
34521781,AccelY,50
34538292,BtnUp,Up
34554734,AccelY,52
34589925,AccelY,50
34640312,AccelY,44
34690149,AccelX,-5
34705067,AccelX,-7
34739576,AccelX,-10
34855319,AccelY,47
34972680,AccelX,-13
35072852,AccelX,-15
35106189,AccelY,50
35140502,AccelX,-13
35205642,AccelX,-10
35222181,AccelX,-7
35255777,AccelX,-5
35271673,BtnDown,Left
35288471,AccelX,0
35288471,AccelY,44
35305165,AccelY,39
35321800,AccelY,34
35338335,AccelY,31
35354792,AccelY,29
35390362,BtnUp,Left
35390362,AccelY,36
35423793,AccelY,42
35438708,AccelY,44
35455252,AccelY,47
35471785,AccelY,52
35488653,AccelY,55
35505516,AccelY,60
35522073,AccelY,63
35538766,AccelY,65
35672946,BtnDown,Right
35689176,AccelY,63
35705758,AccelY,60
35722224,AccelY,58
35738775,AccelY,55
35772465,AccelY,52
35789716,BtnUp,Right
35805553,AccelY,55
35822417,AccelY,58
35838628,AccelY,60
35890688,AccelY,63
35956030,AccelY,65
36040327,BtnDown,B
36055346,AccelY,60
36071845,AccelY,58
36088839,AccelY,55
36105175,BtnUp,B
36155889,AccelY,58
36172124,AccelY,60
36238575,AccelY,63
36255523,AccelY,65
36322550,AccelY,68
36356117,AccelY,71
36372104,BtnDown,Up
36372104,AccelY,73
36388549,AccelY,68
36405237,AccelY,55
36422200,AccelY,44
36438681,AccelY,34
36455522,AccelY,36
36471825,AccelY,39
36488786,BtnUp,Up
36488786,AccelY,42
36505360,AccelY,50
36522213,AccelY,52
36539932,AccelY,55
36556638,AccelY,58
36572970,AccelY,60
36607809,AccelY,63
36656566,AccelY,65
36689829,AccelY,68
36706722,AccelY,65
36723231,BtnDown,Right
36739948,AccelY,63
36756616,AccelY,60
36773082,AccelY,58
36824376,AccelY,60
36839972,BtnUp,Right
36856419,AccelY,65
36872719,AccelY,68
36891254,AccelY,71
36973432,AccelY,68
37141252,BtnDown,B
37156903,AccelY,58
37172912,AccelY,52
37207748,AccelY,58
37223428,AccelY,60
37240337,BtnUp,B
37256711,AccelY,58
37341850,AccelY,60
37356888,AccelY,63
37406712,AccelY,65
37441112,AccelY,63
37523900,BtnDown,A
37539822,AccelY,52
37556578,AccelY,47
37573360,AccelY,42
37589806,AccelY,44
37606523,BtnUp,A
37606523,AccelY,47
37623318,AccelY,58
37639877,AccelY,60
37706699,AccelY,58
37723437,AccelY,60
37840922,AccelY,58
37873219,BtnDown,B
37873219,AccelY,52
37889553,AccelY,50
37906645,AccelY,47
37940584,AccelY,50
37955711,BtnUp,B
37955711,AccelY,55
37973186,AccelY,58
37989578,AccelY,60
38041681,AccelX,-2
38056618,AccelY,63
38090648,AccelX,0
38106022,AccelY,65
38141469,AccelY,68
38175227,AccelY,73
38207738,BtnDown,Up
38223025,AccelY,68
38239376,AccelY,65
38274648,AccelY,68
38289659,BtnUp,Up
38340464,AccelY,63
38356045,AccelY,60
38391166,AccelX,-2
38406187,AccelX,-5
38441058,AccelY,58
38473112,AccelX,-2
38489361,AccelY,60
38523451,AccelY,58
38572943,BtnDown,Left
38589430,AccelY,55
38622693,AccelX,0
38622693,AccelY,60
38639717,BtnUp,Left
38656071,AccelY,73
38672630,AccelY,76
38689866,AccelY,81
38723410,AccelY,84
38739184,AccelY,87
38756344,AccelY,89
38790099,AccelY,92
38822761,AccelY,89
38839070,BtnDown,Up
38855756,AccelY,79
38872681,AccelY,76
38889313,AccelY,71
38905855,AccelY,65
38923322,AccelY,60
38939645,AccelY,58
38956116,AccelY,55
38972795,AccelY,52
39006899,AccelY,50
39106050,AccelY,52
39223705,AccelY,50
39306615,AccelY,52
39406339,AccelY,50
39456686,AccelY,47
39747381,AccelY,50
39896742,AccelY,47
40046906,AccelY,50
40114967,AccelY,52
40197085,AccelY,50
40213204,AccelY,47
40247759,BtnUp,Up
40247759,AccelY,52
40281093,AccelY,55
40296775,AccelY,52
40330513,AccelY,50
40546976,AccelY,52
40563153,AccelY,55
40579884,AccelY,58
40596589,AccelY,63
40613679,AccelX,-2
40613679,AccelY,68
40629813,AccelX,-7
40629813,AccelY,76
40647465,AccelX,-10
40647465,AccelY,84
40662722,AccelX,-13
40662722,AccelY,92
40679568,AccelX,-15
40679568,AccelY,97
40696261,AccelY,102
40712675,AccelX,-18
40712675,AccelY,110
40729403,AccelX,-21
40729403,AccelY,113
40729403,AccelZ,253
40746072,AccelX,-23
40746072,AccelY,116
40746072,AccelZ,250
40762566,AccelY,118
40762566,AccelZ,248
40797714,AccelX,-26
40812684,AccelX,-23
40812684,AccelZ,250
40829637,AccelY,116
40846324,AccelX,-15
40846324,AccelY,108
40846324,AccelZ,255
40862588,BtnDown,Right
40862588,AccelX,-7
40862588,AccelY,102
40879778,AccelX,0
40879778,AccelY,97
40896114,AccelY,89
40912689,AccelY,81
40930098,AccelY,73
40946421,BtnUp,Right
40962696,AccelY,65
40979420,AccelX,-5
40979420,AccelY,63
40996171,AccelX,-7
40996171,AccelY,65
41012501,AccelY,68
41029522,AccelX,-10
41029522,AccelY,71
41046097,AccelY,76
41062626,AccelX,-7
41079372,AccelY,79
41096175,AccelY,81
41112728,AccelX,-5
41129387,AccelY,84
41179709,AccelY,81
41196409,AccelY,76
41212854,BtnDown,Up
